Sample,ID,Response
0004-104,"25",25
0005-105,"25",23
0006-106,"25",24
0007-107,"25",25
0008-108,"25",23
0009-109,"2000",1934
0010-110,"2000",2000
0011-111,"2000",1970
0012-112,"2000",1977
0013-113,"2000",1948
