Sample,ID,Response
0005-105,"0.5",0.5
0006-105,"0.5",0.5
0007-105,"0.5",0.5
0008-105,"0.5",0.6
0009-105,"0.5",0.6
0010-107,"300",295.4
0011-107,"300",295.9
0012-107,"300",297.1
0013-107,"300",293.5
0014-107,"300",296.5
